# Water Recovery,Total Capital Cost,Total Operating Cost,LCOW,SEC,Pressure,Recovery,Membrane Area,Membrane Permeability,LCOW Direct CAPEX Pump,LCOW Indirect CAPEX Pump,LCOW Direct CAPEX ERD,LCOW Indirect CAPEX ERD,LCOW Direct CAPEX RO,LCOW Indirect CAPEX RO,LCOW Fixed OPEX Pump,LCOW Fixed OPEX RO,LCOW Fixed OPEX ERD,LCOW Variable OPEX Electricity
1.000000e-01,2.302835e+04,2.085960e+03,1.545250e+00,5.589452e+00,3.629166e+06,1.000000e-01,5.000000e+01,4.200000e-12,2.928556e-01,2.928556e-01,6.033764e-02,6.033764e-02,5.220925e-02,5.220925e-02,1.757133e-01,1.357440e-01,3.620258e-02,3.867852e-01
1.722222e-01,2.559917e+04,2.403367e+03,1.014690e+00,3.955370e+00,4.232632e+06,1.722222e-01,5.000000e+01,4.200000e-12,1.991328e-01,1.991328e-01,3.222593e-02,3.222593e-02,3.031505e-02,3.031505e-02,1.194797e-01,7.881912e-02,1.933556e-02,2.737082e-01
2.444444e-01,2.817946e+04,2.770820e+03,8.049878e-01,3.390461e+00,4.838098e+06,2.444444e-01,5.000000e+01,4.200000e-12,1.608596e-01,1.608596e-01,2.072599e-02,2.072599e-02,2.135833e-02,2.135833e-02,9.651575e-02,5.553165e-02,1.243559e-02,2.346170e-01
3.166667e-01,3.097323e+04,3.208543e+03,7.011258e-01,3.185846e+00,5.488825e+06,3.166667e-01,5.000000e+01,4.200000e-12,1.412308e-01,1.412308e-01,1.447194e-02,1.447194e-02,1.648713e-02,1.648713e-02,8.473850e-02,4.286654e-02,8.683163e-03,2.204578e-01
3.888889e-01,3.408127e+04,3.732129e+03,6.464602e-01,3.157234e+00,6.206184e+06,3.888889e-01,5.000000e+01,4.200000e-12,1.303151e-01,1.303151e-01,1.054114e-02,1.054114e-02,1.342523e-02,1.342523e-02,7.818905e-02,3.490561e-02,6.324685e-03,2.184779e-01
4.611111e-01,3.762061e+04,4.362224e+03,6.203447e-01,3.240835e+00,7.014988e+06,4.611111e-01,5.000000e+01,4.200000e-12,1.244650e-01,1.244650e-01,7.842052e-03,7.842052e-03,1.132249e-02,1.132249e-02,7.467899e-02,2.943847e-02,4.705231e-03,2.242630e-01
5.333333e-01,4.175550e+04,5.128978e+03,6.142556e-01,3.415122e+00,7.950063e+06,5.333333e-01,5.000000e+01,4.200000e-12,1.221647e-01,1.221647e-01,5.874421e-03,5.874421e-03,9.789234e-03,9.789234e-03,7.329881e-02,2.545201e-02,3.524652e-03,2.363235e-01
6.055556e-01,4.672902e+04,6.078020e+03,6.250939e-01,3.679861e+00,9.062942e+06,6.055556e-01,5.000000e+01,4.200000e-12,1.228505e-01,1.228505e-01,4.376728e-03,4.376728e-03,8.621710e-03,8.621710e-03,7.371030e-02,2.241645e-02,2.626037e-03,2.546432e-01
6.777778e-01,5.290110e+04,7.278799e+03,6.529257e-01,4.050167e+00,1.042993e+07,6.777778e-01,5.000000e+01,4.200000e-12,1.265024e-01,1.265024e-01,3.199054e-03,3.199054e-03,7.703004e-03,7.703004e-03,7.590145e-02,2.002781e-02,1.919433e-03,2.802681e-01
7.500000e-01,6.046479e+04,8.787278e+03,6.963754e-01,4.529578e+00,1.209192e+07,7.500000e-01,5.000000e+01,4.200000e-12,1.327162e-01,1.327162e-01,2.249493e-03,2.249493e-03,6.961233e-03,6.961233e-03,7.962973e-02,1.809921e-02,1.349696e-03,3.134429e-01
