# Pressure,Area,Total Capital Cost,Total Operating Cost,LCOW,SEC,Pressure,Recovery,Membrane Area,Membrane Permeability,LCOW Direct CAPEX Pump,LCOW Indirect CAPEX Pump,LCOW Direct CAPEX ERD,LCOW Indirect CAPEX ERD,LCOW Direct CAPEX RO,LCOW Indirect CAPEX RO,LCOW Fixed OPEX Pump,LCOW Fixed OPEX RO,LCOW Fixed OPEX ERD,LCOW Variable OPEX Electricity
6.000000e+06,2.500000e+01,3.224399e+04,2.840348e+03,9.430146e-01,3.875519e+00,6.000000e+06,2.264372e-01,2.500000e+01,4.200000e-12,2.162476e-01,2.162476e-01,2.290679e-02,2.290679e-02,1.152842e-02,1.152842e-02,1.297485e-01,2.997388e-02,1.374407e-02,2.681826e-01
6.000000e+06,2.750000e+01,3.232457e+04,2.911457e+03,8.857060e-01,3.705304e+00,6.000000e+06,2.442356e-01,2.750000e+01,4.200000e-12,2.004887e-01,2.004887e-01,2.074948e-02,2.074948e-02,1.175712e-02,1.175712e-02,1.202932e-01,3.056852e-02,1.244969e-02,2.564039e-01
6.000000e+06,3.000000e+01,3.240796e+04,2.980296e+03,8.382733e-01,3.563668e+00,6.000000e+06,2.612970e-01,3.000000e+01,4.200000e-12,1.873978e-01,1.873978e-01,1.895741e-02,1.895741e-02,1.198848e-02,1.198848e-02,1.124387e-01,3.117005e-02,1.137444e-02,2.466027e-01
6.000000e+06,3.250000e+01,3.249405e+04,3.046965e+03,7.984510e-01,3.444060e+00,6.000000e+06,2.776486e-01,3.250000e+01,4.200000e-12,1.763614e-01,1.763614e-01,1.744660e-02,1.744660e-02,1.222265e-02,1.222265e-02,1.058168e-01,3.177888e-02,1.046796e-02,2.383260e-01
6.000000e+06,3.500000e+01,3.258274e+04,3.111558e+03,7.646162e-01,3.341789e+00,6.000000e+06,2.933175e-01,3.500000e+01,4.200000e-12,1.669402e-01,1.669402e-01,1.615694e-02,1.615694e-02,1.245970e-02,1.245970e-02,1.001641e-01,3.239521e-02,9.694161e-03,2.312489e-01
6.000000e+06,3.750000e+01,3.267392e+04,3.174169e+03,7.355758e-01,3.253404e+00,6.000000e+06,3.083310e-01,3.750000e+01,4.200000e-12,1.588114e-01,1.588114e-01,1.504420e-02,1.504420e-02,1.269964e-02,1.269964e-02,9.528687e-02,3.301907e-02,9.026518e-03,2.251328e-01
6.000000e+06,4.000000e+01,3.276750e+04,3.234888e+03,7.104327e-01,3.176309e+00,6.000000e+06,3.227163e-01,4.000000e+01,4.200000e-12,1.517323e-01,1.517323e-01,1.407516e-02,1.407516e-02,1.294245e-02,1.294245e-02,9.103941e-02,3.365038e-02,8.445098e-03,2.197979e-01
6.000000e+06,4.250000e+01,3.286336e+04,3.293805e+03,6.884991e-01,3.108515e+00,6.000000e+06,3.365003e-01,4.250000e+01,4.200000e-12,1.455170e-01,1.455170e-01,1.322437e-02,1.322437e-02,1.318806e-02,1.318806e-02,8.731017e-02,3.428896e-02,7.934624e-03,2.151065e-01
6.000000e+06,4.500000e+01,3.296142e+04,3.351008e+03,6.692387e-01,3.048469e+00,6.000000e+06,3.497099e-01,4.500000e+01,4.200000e-12,1.400203e-01,1.400203e-01,1.247198e-02,1.247198e-02,1.343637e-02,1.343637e-02,8.401220e-02,3.493457e-02,7.483190e-03,2.109514e-01
6.000000e+06,4.750000e+01,3.306156e+04,3.406583e+03,6.522274e-01,2.994945e+00,6.000000e+06,3.623717e-01,4.750000e+01,4.200000e-12,1.351278e-01,1.351278e-01,1.180230e-02,1.180230e-02,1.368727e-02,1.368727e-02,8.107669e-02,3.558690e-02,7.081380e-03,2.072476e-01
6.000000e+06,5.000000e+01,3.316368e+04,3.460614e+03,6.371246e-01,2.946959e+00,6.000000e+06,3.745118e-01,5.000000e+01,4.200000e-12,1.307475e-01,1.307475e-01,1.120274e-02,1.120274e-02,1.394062e-02,1.394062e-02,7.844853e-02,3.624560e-02,6.721645e-03,2.039270e-01
